Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDevFitness,P0   ,P25  ,P50  ,P75  ,P100 ,MeanPheromone,StandardDevPheromone,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s),PheromoneImageSaved
62,3096.0000,4644.0000,2548.0000,4794.0000,3746.8600,335.4076,3096.0000,3516.0000,3691.0000,4004.5000,4644.0000,0.6187,0.1449,0.5363,0.5363,0.5363,0.6298,1.0000,3.0600,5205.1085,0.0588,true
63,2932.0000,4436.0000,2548.0000,4794.0000,3777.9600,327.0408,2932.0000,3535.5000,3776.0000,3994.0000,4436.0000,0.6137,0.1464,0.5309,0.5309,0.5309,0.6235,1.0000,-31.1000,-53349.7099,0.0583,true
64,2742.0000,4430.0000,2548.0000,4794.0000,3739.3400,338.7910,2742.0000,3561.5000,3746.0000,3974.0000,4430.0000,0.6086,0.1478,0.5256,0.5256,0.5256,0.6173,1.0000,38.6200,65736.8416,0.0597,true
65,2940.0000,4582.0000,2548.0000,4794.0000,3756.3200,359.1282,2940.0000,3471.0000,3781.0000,4028.0000,4582.0000,0.6037,0.1493,0.5203,0.5203,0.5203,0.6111,1.0000,-16.9800,-29651.8268,0.0563,true
66,2722.0000,4504.0000,2548.0000,4794.0000,3729.9200,355.6051,2722.0000,3499.5000,3759.0000,3946.0000,4504.0000,0.5987,0.1508,0.5151,0.5151,0.5151,0.6050,1.0000,26.4000,45295.9939,0.0583,true
67,2928.0000,4692.0000,2548.0000,4794.0000,3789.5200,342.1766,2928.0000,3581.5000,3789.0000,3993.5000,4692.0000,0.5939,0.1522,0.5100,0.5100,0.5100,0.5990,1.0000,-59.6000,-104110.4409,0.0583,true
68,2700.0000,4440.0000,2548.0000,4794.0000,3638.0200,350.9907,2700.0000,3379.0000,3675.0000,3872.0000,4440.0000,0.5890,0.1537,0.5049,0.5049,0.5049,0.5930,1.0000,151.5000,260280.2093,0.0572,true
69,2944.0000,4406.0000,2548.0000,4794.0000,3718.4800,330.6130,2944.0000,3481.0000,3709.0000,3966.0000,4406.0000,0.5843,0.1551,0.4998,0.4998,0.4998,0.5870,1.0000,-80.4600,-140021.7533,0.0575,true
70,2724.0000,4656.0000,2548.0000,4794.0000,3700.4800,365.5692,2724.0000,3447.0000,3711.0000,4014.0000,4656.0000,0.5795,0.1565,0.4948,0.4948,0.4948,0.5812,1.0000,18.0000,28827.9978,0.0624,true
71,2968.0000,4272.0000,2548.0000,4794.0000,3640.2000,324.1056,2968.0000,3349.5000,3633.0000,3858.5000,4272.0000,0.5748,0.1580,0.4899,0.4899,0.4899,0.5754,1.0000,60.2800,104567.6350,0.0576,true
